season,week,is_playoff,is_neutral,home_completion_pct,home_passing_yds_pg,home_passing_tds_pg,home_passing_cpoe,home_sacks_pg,home_carries_pg,home_rushing_yds_pg,home_rushing_tds_pg,home_rushing_epa_pg,home_targets_pg,home_receiving_yds_pg,home_receiving_tds_pg,home_receiving_epa_pg,home_turnovers_pg,home_penalty_yds_pg,home_dst_tds_pg,home_passing_yds_allowed_pg,home_passing_tds_allowed_pg,home_rushing_yds_allowed_pg,home_rushing_tds_allowed_pg,home_receiving_yds_allowed_pg,home_receiving_tds_allowed_pg,away_completion_pct,away_passing_yds_pg,away_passing_tds_pg,away_passing_cpoe,away_sacks_pg,away_carries_pg,away_rushing_yds_pg,away_rushing_tds_pg,away_rushing_epa_pg,away_targets_pg,away_receiving_yds_pg,away_receiving_tds_pg,away_receiving_epa_pg,away_turnovers_pg,away_penalty_yds_pg,away_dst_tds_pg,away_passing_yds_allowed_pg,away_passing_tds_allowed_pg,away_rushing_yds_allowed_pg,away_rushing_tds_allowed_pg,away_receiving_yds_allowed_pg,away_receiving_tds_allowed_pg,home_spread_covered,home_win,home_rest,away_rest,spread
2015,4,0,0,0.6630434782608695,288.6666666666667,2.6666666666666665,6.864441057143647,0.6666666666666666,32.666666666666664,129.33333333333334,1.0,-6.401862713847852,30.0,288.6666666666667,2.6666666666666665,14.438112199359665,1.3333333333333333,64.0,0.0,268.6666666666667,2.0,76.66666666666667,0.0,268.6666666666667,2.0,0.6326530612244898,241.33333333333334,1.3333333333333333,-4.866718923212379,4.666666666666667,26.0,106.33333333333333,1.6666666666666667,-2.8003428685866916,32.0,241.33333333333334,1.3333333333333333,4.560255638351971,1.6666666666666665,41.0,0.3333333333333333,307.6666666666667,3.3333333333333335,94.0,0.0,307.6666666666667,3.3333333333333335,2,1,7,6,3.5
2015,4,0,0,0.560344827586207,251.0,1.6666666666666667,-2.0924057096851114,1.6666666666666667,21.333333333333332,96.66666666666667,0.6666666666666666,-0.39111738667512935,38.0,251.0,1.6666666666666667,1.2984640928544902,3.0,68.0,0.3333333333333333,268.6666666666667,1.6666666666666667,112.0,1.3333333333333333,268.6666666666667,1.6666666666666667,0.5377358490566038,232.66666666666666,1.6666666666666667,-6.420691948161166,2.3333333333333335,24.666666666666668,92.0,0.0,-4.551023897996248,35.0,232.66666666666666,1.6666666666666667,0.5866042978212832,1.3333333333333333,77.33333333333333,0.0,297.3333333333333,1.6666666666666667,90.66666666666667,1.3333333333333333,297.3333333333333,1.6666666666666667,0,1,7,7,4.0
2015,4,0,0,0.5222222222222223,226.0,1.3333333333333333,-5.547574617473939,2.3333333333333335,27.0,96.0,0.3333333333333333,-6.24943169218029,29.333333333333332,226.0,1.3333333333333333,0.7672686625522429,1.6666666666666665,90.33333333333333,0.0,230.66666666666666,2.0,138.0,1.3333333333333333,230.66666666666666,2.0,0.5656565656565657,228.33333333333334,1.6666666666666667,-4.417345081086562,1.6666666666666667,32.666666666666664,132.0,0.6666666666666666,0.6044581638374479,33.0,228.33333333333334,1.6666666666666667,4.7331690681708585,0.6666666666666666,67.33333333333333,0.3333333333333333,245.66666666666666,0.6666666666666666,75.66666666666667,1.0,245.66666666666666,0.6666666666666666,0,0,7,7,-3.0
2015,4,0,0,0.691588785046729,238.33333333333334,1.0,6.560730775732165,1.3333333333333333,31.333333333333332,143.66666666666666,0.6666666666666666,-4.627779011891167,35.666666666666664,238.33333333333334,1.0,5.629622501595468,2.0,66.33333333333333,0.3333333333333333,218.33333333333334,1.3333333333333333,75.0,0.3333333333333333,218.33333333333334,1.3333333333333333,0.6239316239316239,226.0,1.0,-7.24206118698864,0.6666666666666666,23.666666666666668,64.33333333333333,1.0,-7.141162706673664,39.0,226.0,1.0,-1.2561298052748884,2.0,56.333333333333336,0.3333333333333333,283.0,1.6666666666666667,87.0,0.0,283.0,1.6666666666666667,2,1,10,7,-3.0
2015,4,0,0,0.6377952755905512,251.66666666666666,1.6666666666666667,-1.6320873012460728,2.6666666666666665,22.0,57.0,0.3333333333333333,-5.9704295318030445,42.333333333333336,251.66666666666666,1.6666666666666667,1.4000096990894386,1.3333333333333333,74.66666666666667,0.3333333333333333,196.66666666666666,0.3333333333333333,82.66666666666667,1.0,196.66666666666666,0.3333333333333333,0.6756756756756757,168.33333333333334,0.3333333333333333,6.714787217816216,2.0,30.0,144.33333333333334,1.6666666666666667,0.4070409255800769,24.333333333333332,168.33333333333334,0.3333333333333333,-1.3152435016752195,1.0,53.666666666666664,0.3333333333333333,253.33333333333334,1.3333333333333333,119.33333333333333,0.6666666666666666,253.33333333333334,1.3333333333333333,0,1,7,7,7.0
2015,4,0,0,0.6483516483516484,189.0,0.6666666666666666,-2.321926916312886,2.6666666666666665,33.0,148.0,1.0,-0.13019778541638516,30.333333333333332,189.0,0.6666666666666666,0.11868487992088579,1.6666666666666665,49.333333333333336,0.0,303.6666666666667,1.6666666666666667,98.0,1.6666666666666667,303.6666666666667,1.6666666666666667,0.7362637362637362,257.0,3.3333333333333335,13.626696589963261,1.0,30.333333333333332,127.66666666666667,0.3333333333333333,0.0320618638783694,29.666666666666668,257.0,3.3333333333333335,13.569660210186905,0.3333333333333333,66.0,0.0,240.33333333333334,1.3333333333333333,127.66666666666667,1.3333333333333333,240.33333333333334,1.3333333333333333,0,0,7,6,-7.5
2015,4,0,0,0.6854838709677419,306.6666666666667,0.6666666666666666,0.8991050779035218,2.3333333333333335,23.666666666666668,76.0,1.3333333333333333,-0.44251135787631696,41.333333333333336,306.6666666666667,0.6666666666666666,2.323656218210564,2.0,81.0,0.3333333333333333,276.3333333333333,2.0,126.0,1.0,276.3333333333333,2.0,0.7904761904761906,285.3333333333333,1.3333333333333333,9.373669600754463,1.6666666666666667,25.666666666666668,105.33333333333333,1.3333333333333333,-1.332242053419274,35.0,285.3333333333333,1.3333333333333333,3.617429658639228,2.0,69.33333333333333,0.3333333333333333,232.66666666666666,1.0,88.0,1.3333333333333333,232.66666666666666,1.0,2,1,7,7,3.0
2015,4,0,0,0.702970297029703,230.66666666666666,1.3333333333333333,8.675214409036387,4.0,28.666666666666668,134.0,0.0,-0.9725355824308757,32.0,230.66666666666666,1.3333333333333333,5.0875225831477255,1.0,59.666666666666664,0.6666666666666666,203.0,1.0,100.33333333333333,0.6666666666666666,203.0,1.0,0.640625,271.3333333333333,1.6666666666666667,-0.3096080409180211,2.0,17.0,45.0,0.6666666666666666,-4.342014986652958,41.666666666666664,271.3333333333333,1.6666666666666667,2.048221570370181,2.666666666666667,47.666666666666664,0.3333333333333333,293.3333333333333,1.6666666666666667,112.0,1.6666666666666667,293.3333333333333,1.6666666666666667,0,1,8,8,10.0
2015,5,0,0,0.527363184079602,297.0,1.5,-8.631780779992814,2.0,26.75,99.75,0.75,-4.406071718369585,49.75,297.0,1.5,-1.4887422556302625,2.0,50.5,0.0,238.75,1.75,115.25,1.25,238.75,1.75,0.5828220858895705,258.75,1.5,-1.9081744423869689,2.0,22.0,87.5,0.5,-4.322915317092995,40.25,258.75,1.5,2.976499353803547,2.75,62.25,0.25,276.0,1.5,119.5,1.0,276.0,1.5,0,0,4,4,4.5
2015,5,0,0,0.6713286713286714,300.5,1.5,-0.589029971484412,1.5,31.0,113.5,2.25,-0.6839090722814991,35.5,300.5,1.5,13.20510672488897,0.5,68.0,0.0,310.5,1.25,85.25,1.75,310.5,1.25,0.6862745098039216,251.25,1.0,5.339005308707849,1.25,31.5,139.5,0.75,-4.388745279676357,38.25,251.25,1.0,6.307962342839845,1.75,77.25,0.25,231.25,1.75,78.0,0.25,231.25,1.75,0,1,7,7,7.5
